ID,img,speaker
v2_faces_id0001_English_7fPLLrXd5WA_0002000,v2/faces/id0001/English/7fPLLrXd5WA/0002000.jpg,id0001
v2_faces_id0001_English_7fPLLrXd5WA_0001950,v2/faces/id0001/English/7fPLLrXd5WA/0001950.jpg,id0001
v2_faces_id0001_English_7fPLLrXd5WA_0006450,v2/faces/id0001/English/7fPLLrXd5WA/0006450.jpg,id0001
v2_faces_id0001_English_7fPLLrXd5WA_0001975,v2/faces/id0001/English/7fPLLrXd5WA/0001975.jpg,id0001
v2_faces_id0001_English_7fPLLrXd5WA_0006375,v2/faces/id0001/English/7fPLLrXd5WA/0006375.jpg,id0001
v2_faces_id0001_English_7fPLLrXd5WA_0004400,v2/faces/id0001/English/7fPLLrXd5WA/0004400.jpg,id0001
v2_faces_id0001_English_7fPLLrXd5WA_0004125,v2/faces/id0001/English/7fPLLrXd5WA/0004125.jpg,id0001
v2_faces_id0001_English_7fPLLrXd5WA_0001800,v2/faces/id0001/English/7fPLLrXd5WA/0001800.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0011700,v2/faces/id0001/English/TvEgD6zRRY8/0011700.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0012725,v2/faces/id0001/English/TvEgD6zRRY8/0012725.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0002650,v2/faces/id0001/English/TvEgD6zRRY8/0002650.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0008625,v2/faces/id0001/English/TvEgD6zRRY8/0008625.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0002375,v2/faces/id0001/English/TvEgD6zRRY8/0002375.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0012825,v2/faces/id0001/English/TvEgD6zRRY8/0012825.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0006150,v2/faces/id0001/English/TvEgD6zRRY8/0006150.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0014825,v2/faces/id0001/English/TvEgD6zRRY8/0014825.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0014750,v2/faces/id0001/English/TvEgD6zRRY8/0014750.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0008525,v2/faces/id0001/English/TvEgD6zRRY8/0008525.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0013625,v2/faces/id0001/English/TvEgD6zRRY8/0013625.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0004100,v2/faces/id0001/English/TvEgD6zRRY8/0004100.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0002000,v2/faces/id0001/English/TvEgD6zRRY8/0002000.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0001850,v2/faces/id0001/English/TvEgD6zRRY8/0001850.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0005100,v2/faces/id0001/English/TvEgD6zRRY8/0005100.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0006125,v2/faces/id0001/English/TvEgD6zRRY8/0006125.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0015100,v2/faces/id0001/English/TvEgD6zRRY8/0015100.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0005125,v2/faces/id0001/English/TvEgD6zRRY8/0005125.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0002500,v2/faces/id0001/English/TvEgD6zRRY8/0002500.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0008650,v2/faces/id0001/English/TvEgD6zRRY8/0008650.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0005700,v2/faces/id0001/English/TvEgD6zRRY8/0005700.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0011675,v2/faces/id0001/English/TvEgD6zRRY8/0011675.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0008550,v2/faces/id0001/English/TvEgD6zRRY8/0008550.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0002900,v2/faces/id0001/English/TvEgD6zRRY8/0002900.jpg,id0001
v2_faces_id0001_English_TvEgD6zRRY8_0008575,v2/faces/id0001/English/TvEgD6zRRY8/0008575.jpg,id0001
v2_faces_id0001_English_JwkYY4Xc_S4_0002875,v2/faces/id0001/English/JwkYY4Xc_S4/0002875.jpg,id0001
v2_faces_id0001_English_JwkYY4Xc_S4_0002400,v2/faces/id0001/English/JwkYY4Xc_S4/0002400.jpg,id0001
v2_faces_id0001_English_JwkYY4Xc_S4_0003875,v2/faces/id0001/English/JwkYY4Xc_S4/0003875.jpg,id0001
v2_faces_id0001_English_JwkYY4Xc_S4_0002600,v2/faces/id0001/English/JwkYY4Xc_S4/0002600.jpg,id0001
v2_faces_id0001_English_jaxuNMA3NhA_0008875,v2/faces/id0001/English/jaxuNMA3NhA/0008875.jpg,id0001
v2_faces_id0001_English_jaxuNMA3NhA_0028375,v2/faces/id0001/English/jaxuNMA3NhA/0028375.jpg,id0001
v2_faces_id0001_English_tNv2Zd6X4jA_0006675,v2/faces/id0001/English/tNv2Zd6X4jA/0006675.jpg,id0001
v2_faces_id0001_English_tNv2Zd6X4jA_0007550,v2/faces/id0001/English/tNv2Zd6X4jA/0007550.jpg,id0001
v2_faces_id0001_English_tNv2Zd6X4jA_0005125,v2/faces/id0001/English/tNv2Zd6X4jA/0005125.jpg,id0001
v2_faces_id0001_English_tNv2Zd6X4jA_0003975,v2/faces/id0001/English/tNv2Zd6X4jA/0003975.jpg,id0001
v2_faces_id0001_English_tNv2Zd6X4jA_0006450,v2/faces/id0001/English/tNv2Zd6X4jA/0006450.jpg,id0001
v2_faces_id0001_English_tNv2Zd6X4jA_0005850,v2/faces/id0001/English/tNv2Zd6X4jA/0005850.jpg,id0001
v2_faces_id0001_English_tNv2Zd6X4jA_0005200,v2/faces/id0001/English/tNv2Zd6X4jA/0005200.jpg,id0001
v2_faces_id0001_English_KWwO9_KQ9Bk_0004075,v2/faces/id0001/English/KWwO9_KQ9Bk/0004075.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0010225,v2/faces/id0001/English/bBsvW4XBjm8/0010225.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0017125,v2/faces/id0001/English/bBsvW4XBjm8/0017125.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0004525,v2/faces/id0001/English/bBsvW4XBjm8/0004525.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0010475,v2/faces/id0001/English/bBsvW4XBjm8/0010475.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0003900,v2/faces/id0001/English/bBsvW4XBjm8/0003900.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0016900,v2/faces/id0001/English/bBsvW4XBjm8/0016900.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0019525,v2/faces/id0001/English/bBsvW4XBjm8/0019525.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0014425,v2/faces/id0001/English/bBsvW4XBjm8/0014425.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0004775,v2/faces/id0001/English/bBsvW4XBjm8/0004775.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0010025,v2/faces/id0001/English/bBsvW4XBjm8/0010025.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0026675,v2/faces/id0001/English/bBsvW4XBjm8/0026675.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0016875,v2/faces/id0001/English/bBsvW4XBjm8/0016875.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0010050,v2/faces/id0001/English/bBsvW4XBjm8/0010050.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0023950,v2/faces/id0001/English/bBsvW4XBjm8/0023950.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0019400,v2/faces/id0001/English/bBsvW4XBjm8/0019400.jpg,id0001
v2_faces_id0001_English_bBsvW4XBjm8_0021000,v2/faces/id0001/English/bBsvW4XBjm8/0021000.jpg,id0001
