ID,wav,speaker
v2_voices_id0001_Hindi_jaxuNMA3NhA_00000,v2/voices/id0001/Hindi/jaxuNMA3NhA/00000.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00001,v2/voices/id0001/Hindi/jaxuNMA3NhA/00001.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00002,v2/voices/id0001/Hindi/jaxuNMA3NhA/00002.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00003,v2/voices/id0001/Hindi/jaxuNMA3NhA/00003.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00004,v2/voices/id0001/Hindi/jaxuNMA3NhA/00004.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00005,v2/voices/id0001/Hindi/jaxuNMA3NhA/00005.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00006,v2/voices/id0001/Hindi/jaxuNMA3NhA/00006.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00007,v2/voices/id0001/Hindi/jaxuNMA3NhA/00007.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00008,v2/voices/id0001/Hindi/jaxuNMA3NhA/00008.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00009,v2/voices/id0001/Hindi/jaxuNMA3NhA/00009.wav,id0001
v2_voices_id0001_Hindi_jaxuNMA3NhA_00010,v2/voices/id0001/Hindi/jaxuNMA3NhA/00010.wav,id0001
v2_voices_id0002_Hindi_nwi_BOrQ3ss_00000,v2/voices/id0002/Hindi/nwi_BOrQ3ss/00000.wav,id0002
v2_voices_id0002_Hindi_nwi_BOrQ3ss_00003,v2/voices/id0002/Hindi/nwi_BOrQ3ss/00003.wav,id0002
v2_voices_id0002_Hindi_nwi_BOrQ3ss_00004,v2/voices/id0002/Hindi/nwi_BOrQ3ss/00004.wav,id0002
v2_voices_id0002_Hindi_nwi_BOrQ3ss_00005,v2/voices/id0002/Hindi/nwi_BOrQ3ss/00005.wav,id0002
v2_voices_id0002_Hindi_nwi_BOrQ3ss_00006,v2/voices/id0002/Hindi/nwi_BOrQ3ss/00006.wav,id0002
v2_voices_id0002_Hindi_nwi_BOrQ3ss_00007,v2/voices/id0002/Hindi/nwi_BOrQ3ss/00007.wav,id0002
